votant,categorie,joueur,rang
Raphaël Tremblay,Le plus susceptible de disparaître à 23 h,Léa Bouchard,1
Raphaël Tremblay,Le plus susceptible de disparaître à 23 h,Alex Dubé,2
Raphaël Tremblay,Le plus susceptible de disparaître à 23 h,Félix Lachance,3
Raphaël Tremblay,La meilleure mauvaise idée de l'année,Alex Dubé,1
Raphaël Tremblay,La meilleure mauvaise idée de l'année,Léa Bouchard,2
Raphaël Tremblay,La meilleure mauvaise idée de l'année,Félix Lachance,3
Félix Lachance,Le plus susceptible de disparaître à 23 h,Léa Bouchard,1
Félix Lachance,Le plus susceptible de disparaître à 23 h,Félix Lachance,2
Félix Lachance,Le plus susceptible de disparaître à 23 h,Alex Dubé,3
Félix Lachance,La meilleure mauvaise idée de l'année,Alex Dubé,1
Félix Lachance,La meilleure mauvaise idée de l'année,Félix Lachance,2
Félix Lachance,La meilleure mauvaise idée de l'année,Léa Bouchard,3
Danielle Tremblay,Le plus susceptible de disparaître à 23 h,Alex Dubé,1
Danielle Tremblay,Le plus susceptible de disparaître à 23 h,Léa Bouchard,2
Danielle Tremblay,Le plus susceptible de disparaître à 23 h,Félix Lachance,3
Danielle Tremblay,La meilleure mauvaise idée de l'année,Léa Bouchard,1
Danielle Tremblay,La meilleure mauvaise idée de l'année,Alex Dubé,2
Danielle Tremblay,La meilleure mauvaise idée de l'année,Félix Lachance,3
